Week 1 8/23
Cedar Crest,Manheim Township,2
Emmaus,Freedom,2
Warwick,Wilson,2
Spring Grove,Dallastown,2
East Stroudsburg South,Louis E. Dieruff,1
Carlisle,Central Dauphin East,2
Henderson,Downingtown East,2
Plymouth Whitemarsh,Quakertown,1
Northeastern,Central York,2
Bishop Shanahan,Coatesville,2

Week 8 10/12
Central Bucks South,Central Bucks East,2
Central Catholic,Butler,1
Coolidge,Chester,2
Chambersburg,Harrisburg,2
Owen J. Roberts,Spring-Ford,2
SJCI,Erie,1
Easton Area,Bethlehem Catholic,2
Liberty,Allentown Central Catholic,2
Haverford,Ridley,1
